owner_uname,ctaker_uname,pet_name,start_date,end_date,status,payment_method,transfer_type,bid_price,query
brown333,john308,Jackson,2020-11-30,2020-12-16,success,cash,meetup,255,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('brown333', 'john308', 'Jackson', '2020-11-30', '2020-12-16', 'success', 'cash', 'meetup', '255');"
brown333,william693,Bernie,2020-11-19,2020-12-25,success,cash,pickup,555,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('brown333', 'william693', 'Bernie', '2020-11-19', '2020-12-25', 'success', 'cash', 'pickup', '555');"
newell995,james530,Lola,2020-11-24,2020-12-04,success,card,meetup,165,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('newell995', 'james530', 'Lola', '2020-11-24', '2020-12-04', 'success', 'card', 'meetup', '165');"
newell995,charles27,Nutmeg,2020-10-14,2020-11-12,success,card,pickup,450,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('newell995', 'charles27', 'Nutmeg', '2020-10-14', '2020-11-12', 'success', 'card', 'pickup', '450');"
carter540,george9,Kirby,2020-10-11,2020-11-16,success,cash,delivery,555,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('carter540', 'george9', 'Kirby', '2020-10-11', '2020-11-16', 'success', 'cash', 'delivery', '555');"
carter540,frank354,Duchess,2020-10-30,2020-12-06,success,cash,meetup,570,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('carter540', 'frank354', 'Duchess', '2020-10-30', '2020-12-06', 'success', 'cash', 'meetup', '570');"
lucas114,joseph839,Michael,2020-10-29,2020-11-23,success,card,delivery,390,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('lucas114', 'joseph839', 'Michael', '2020-10-29', '2020-11-23', 'success', 'card', 'delivery', '390');"
lucas114,thomas83,Sweetie,2020-11-06,2020-11-15,success,card,meetup,150,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('lucas114', 'thomas83', 'Sweetie', '2020-11-06', '2020-11-15', 'success', 'card', 'meetup', '150');"
ransom25,henry329,Schotzie,2020-11-03,2020-12-26,success,cash,delivery,810,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('ransom25', 'henry329', 'Schotzie', '2020-11-03', '2020-12-26', 'success', 'cash', 'delivery', '810');"
bee402,robert769,Sawyer,2020-11-27,2020-12-07,success,cash,pickup,165,"INSERT INTO bids (owner_uname, ctaker_uname, pet_name, start_date, end_date, status, payment_method, transfer_type, bid_price) VALUES('bee402', 'robert769', 'Sawyer', '2020-11-27', '2020-12-07', 'success', 'cash', 'pickup', '165');"
