username,pet_type,query
john308,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('john308', 'Cat');"
william693,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('william693', 'Rabbit');"
william693,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('william693', 'Dog');"
james530,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('james530', 'Rabbit');"
charles27,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('charles27', 'Dog');"
charles27,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('charles27', 'Cat');"
george9,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('george9', 'Cat');"
frank354,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('frank354', 'Dog');"
frank354,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('frank354', 'Cat');"
joseph839,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('joseph839', 'Rabbit');"
thomas83,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('thomas83', 'Rabbit');"
henry329,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('henry329', 'Dog');"
robert769,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('robert769', 'Cat');"
robert769,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('robert769', 'Dog');"
edward503,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('edward503', 'Rabbit');"
harry431,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('harry431', 'Dog');"
walter823,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('walter823', 'Cat');"
arthur183,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('arthur183', 'Rabbit');"
arthur183,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('arthur183', 'Dog');"
fred434,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('fred434', 'Cat');"
albert611,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('albert611', 'Cat');"
samuel122,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('samuel122', 'Rabbit');"
samuel122,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('samuel122', 'Cat');"
david943,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('david943', 'Rabbit');"
david943,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('david943', 'Cat');"
louis131,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('louis131', 'Rabbit');"
louis131,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('louis131', 'Cat');"
joe770,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('joe770', 'Cat');"
joe770,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('joe770', 'Rabbit');"
charlie154,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('charlie154', 'Rabbit');"
charlie154,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('charlie154', 'Dog');"
clarence506,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('clarence506', 'Rabbit');"
clarence506,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('clarence506', 'Dog');"
richard503,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('richard503', 'Dog');"
richard503,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('richard503', 'Rabbit');"
andrew540,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('andrew540', 'Rabbit');"
andrew540,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('andrew540', 'Dog');"
daniel605,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('daniel605', 'Cat');"
daniel605,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('daniel605', 'Rabbit');"
ernest976,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('ernest976', 'Dog');"
ernest976,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('ernest976', 'Cat');"
will412,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('will412', 'Cat');"
will412,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('will412', 'Rabbit');"
jesse639,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('jesse639', 'Rabbit');"
jesse639,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('jesse639', 'Dog');"
oscar576,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('oscar576', 'Dog');"
oscar576,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('oscar576', 'Rabbit');"
lewis162,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('lewis162', 'Cat');"
lewis162,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('lewis162', 'Dog');"
peter314,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('peter314', 'Dog');"
peter314,Cat,"INSERT INTO can_care_for (username, pet_type) VALUES('peter314', 'Cat');"
benjamin775,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('benjamin775', 'Dog');"
benjamin775,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('benjamin775', 'Rabbit');"
frederick396,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('frederick396', 'Dog');"
frederick396,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('frederick396', 'Rabbit');"
willie116,Dog,"INSERT INTO can_care_for (username, pet_type) VALUES('willie116', 'Dog');"
willie116,Rabbit,"INSERT INTO can_care_for (username, pet_type) VALUES('willie116', 'Rabbit');"
