username,type,avg_rating,current_pets_number,approved,query
john308,full-time,4.9,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('john308', 'full-time', '4.9','0', 'True');"
william693,full-time,4.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('william693', 'full-time', '4.1','0', 'True');"
james530,full-time,3.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('james530', 'full-time', '3.1','0', 'True');"
charles27,full-time,4.9,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('charles27', 'full-time', '4.9','0', 'True');"
george9,full-time,4.5,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('george9', 'full-time', '4.5','0', 'True');"
frank354,full-time,2.4,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('frank354', 'full-time', '2.4','0', 'True');"
joseph839,full-time,1.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('joseph839', 'full-time', '1.1','0', 'True');"
thomas83,full-time,3.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('thomas83', 'full-time', '3.7','0', 'True');"
henry329,full-time,4.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('henry329', 'full-time', '4.1','0', 'True');"
robert769,full-time,1.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('robert769', 'full-time', '1.1','0', 'True');"
edward503,full-time,4.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('edward503', 'full-time', '4.1','0', 'True');"
harry431,full-time,1.6,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('harry431', 'full-time', '1.6','0', 'True');"
walter823,full-time,4.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('walter823', 'full-time', '4.7','0', 'True');"
arthur183,full-time,2.2,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('arthur183', 'full-time', '2.2','0', 'True');"
fred434,full-time,1.5,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('fred434', 'full-time', '1.5','0', 'True');"
albert611,full-time,1.5,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('albert611', 'full-time', '1.5','0', 'True');"
samuel122,full-time,3.2,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('samuel122', 'full-time', '3.2','0', 'True');"
david943,full-time,4.3,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('david943', 'full-time', '4.3','0', 'True');"
louis131,full-time,4.6,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('louis131', 'full-time', '4.6','0', 'True');"
joe770,full-time,1.4,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('joe770', 'full-time', '1.4','0', 'True');"
charlie154,full-time,3.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('charlie154', 'full-time', '3.1','0', 'True');"
clarence506,full-time,3.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('clarence506', 'full-time', '3.7','0', 'True');"
richard503,full-time,3.4,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('richard503', 'full-time', '3.4','0', 'True');"
andrew540,full-time,4.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('andrew540', 'full-time', '4.7','0', 'True');"
daniel605,full-time,3.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('daniel605', 'full-time', '3.7','0', 'True');"
ernest976,full-time,3.6,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('ernest976', 'full-time', '3.6','0', 'True');"
will412,full-time,4.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('will412', 'full-time', '4.7','0', 'True');"
jesse639,full-time,1.5,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('jesse639', 'full-time', '1.5','0', 'True');"
oscar576,full-time,4.7,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('oscar576', 'full-time', '4.7','0', 'True');"
lewis162,full-time,3.1,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('lewis162', 'full-time', '3.1','0', 'True');"
peter314,full-time,4.3,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('peter314', 'full-time', '4.3','0', 'True');"
benjamin775,full-time,3.3,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('benjamin775', 'full-time', '3.3','0', 'True');"
frederick396,full-time,3.2,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('frederick396', 'full-time', '3.2','0', 'True');"
willie116,full-time,1.2,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('willie116', 'full-time', '1.2','0', 'True');"
alfred245,full-time,2.2,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('alfred245', 'full-time', '2.2','0', 'True');"
sam434,full-time,3.6,0,True,"INSERT INTO caretakers (username, type, avg_rating, current_pets_number, approved) VALUES('sam434', 'full-time', '3.6','0', 'True');"
