username,start_date,end_date,query
john308,2020-06-20,2020-06-26,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('john308', '2020-06-20', '2020-06-26');"
william693,2020-06-25,2020-06-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('william693', '2020-06-25', '2020-06-30');"
james530,2020-06-08,2020-07-20,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('james530', '2020-06-08', '2020-07-20');"
charles27,2020-06-30,2020-07-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('charles27', '2020-06-30', '2020-07-30');"
george9,2020-06-07,2020-07-05,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('george9', '2020-06-07', '2020-07-05');"
frank354,2020-06-09,2020-07-31,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('frank354', '2020-06-09', '2020-07-31');"
joseph839,2020-06-10,2020-07-31,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('joseph839', '2020-06-10', '2020-07-31');"
thomas83,2020-06-05,2020-07-05,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('thomas83', '2020-06-05', '2020-07-05');"
henry329,2020-06-03,2020-06-21,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('henry329', '2020-06-03', '2020-06-21');"
robert769,2020-06-17,2020-07-23,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('robert769', '2020-06-17', '2020-07-23');"
edward503,2020-06-12,2020-07-09,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('edward503', '2020-06-12', '2020-07-09');"
harry431,2020-06-27,2020-07-28,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('harry431', '2020-06-27', '2020-07-28');"
walter823,2020-06-13,2020-07-03,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('walter823', '2020-06-13', '2020-07-03');"
arthur183,2020-06-27,2020-07-02,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('arthur183', '2020-06-27', '2020-07-02');"
fred434,2020-06-16,2020-07-16,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('fred434', '2020-06-16', '2020-07-16');"
albert611,2020-06-14,2020-06-26,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('albert611', '2020-06-14', '2020-06-26');"
samuel122,2020-06-17,2020-06-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('samuel122', '2020-06-17', '2020-06-30');"
david943,2020-06-13,2020-07-24,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('david943', '2020-06-13', '2020-07-24');"
louis131,2020-06-27,2020-07-11,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('louis131', '2020-06-27', '2020-07-11');"
joe770,2020-06-20,2020-07-25,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('joe770', '2020-06-20', '2020-07-25');"
charlie154,2020-06-10,2020-06-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('charlie154', '2020-06-10', '2020-06-30');"
clarence506,2020-06-11,2020-06-18,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('clarence506', '2020-06-11', '2020-06-18');"
richard503,2020-06-27,2020-07-18,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('richard503', '2020-06-27', '2020-07-18');"
andrew540,2020-06-08,2020-07-12,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('andrew540', '2020-06-08', '2020-07-12');"
daniel605,2020-06-09,2020-07-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('daniel605', '2020-06-09', '2020-07-30');"
ernest976,2020-06-27,2020-07-06,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('ernest976', '2020-06-27', '2020-07-06');"
will412,2020-06-30,2020-07-08,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('will412', '2020-06-30', '2020-07-08');"
jesse639,2020-06-02,2020-07-10,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('jesse639', '2020-06-02', '2020-07-10');"
oscar576,2020-06-05,2020-07-10,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('oscar576', '2020-06-05', '2020-07-10');"
lewis162,2020-06-15,2020-07-30,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('lewis162', '2020-06-15', '2020-07-30');"
peter314,2020-06-23,2020-07-22,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('peter314', '2020-06-23', '2020-07-22');"
benjamin775,2020-06-06,2020-07-05,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('benjamin775', '2020-06-06', '2020-07-05');"
frederick396,2020-06-29,2020-07-29,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('frederick396', '2020-06-29', '2020-07-29');"
willie116,2020-06-11,2020-07-29,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('willie116', '2020-06-11', '2020-07-29');"
alfred245,2020-06-30,2020-07-25,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('alfred245', '2020-06-30', '2020-07-25');"
sam434,2020-06-11,2020-06-19,"INSERT INTO ft_leave_periods (username, start_date, end_date) VALUES('sam434', '2020-06-11', '2020-06-19');"
