owner_uname,pet_name,pet_type,query
brown333,Jackson,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('brown333', 'Jackson', 'Cat');"
brown333,Bernie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('brown333', 'Bernie', 'Rabbit');"
newell995,Lola,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('newell995', 'Lola', 'Rabbit');"
newell995,Nutmeg,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('newell995', 'Nutmeg', 'Dog');"
carter540,Kirby,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('carter540', 'Kirby', 'Cat');"
carter540,Duchess,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('carter540', 'Duchess', 'Dog');"
lucas114,Michael,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('lucas114', 'Michael', 'Rabbit');"
lucas114,Sweetie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('lucas114', 'Sweetie', 'Rabbit');"
ransom25,Schotzie,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ransom25', 'Schotzie', 'Dog');"
bee402,Sawyer,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('bee402', 'Sawyer', 'Cat');"
bee402,Monster,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('bee402', 'Monster', 'Rabbit');"
meyer299,Oz,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('meyer299', 'Oz', 'Dog');"
meyer299,Pluto,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('meyer299', 'Pluto', 'Cat');"
paris487,Claire,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('paris487', 'Claire', 'Rabbit');"
byrd536,Kyra,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('byrd536', 'Kyra', 'Cat');"
byrd536,Chase,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('byrd536', 'Chase', 'Cat');"
deforest17,Baron,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('deforest17', 'Baron', 'Rabbit');"
deforest17,Jelly,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('deforest17', 'Jelly', 'Rabbit');"
dolph291,Simone,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('dolph291', 'Simone', 'Rabbit');"
dolph291,Schultz,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('dolph291', 'Schultz', 'Cat');"
harper284,Greenie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('harper284', 'Greenie', 'Rabbit');"
harper284,Rocket,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('harper284', 'Rocket', 'Rabbit');"
jule58,Jess,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('jule58', 'Jess', 'Dog');"
jule58,Smudge,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('jule58', 'Smudge', 'Rabbit');"
lambert208,Friday,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('lambert208', 'Friday', 'Cat');"
margaret100,Furball,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('margaret100', 'Furball', 'Dog');"
ocie248,Kona,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ocie248', 'Kona', 'Cat');"
ocie248,Speedy,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ocie248', 'Speedy', 'Rabbit');"
orange142,Scooby-doo,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('orange142', 'Scooby-doo', 'Dog');"
reece359,Tootsie,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('reece359', 'Tootsie', 'Cat');"
reece359,Travis,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('reece359', 'Travis', 'Dog');"
roe787,Higgins,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('roe787', 'Higgins', 'Dog');"
ambers79,Sheena,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ambers79', 'Sheena', 'Dog');"
bessie344,Wally,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('bessie344', 'Wally', 'Dog');"
collins494,Cosmo,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('collins494', 'Cosmo', 'Dog');"
elbridge307,Chipper,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('elbridge307', 'Chipper', 'Cat');"
elbridge307,Flint,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('elbridge307', 'Flint', 'Dog');"
eldon475,Meadow,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('eldon475', 'Meadow', 'Dog');"
elvis313,Chili,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('elvis313', 'Chili', 'Dog');"
elvis313,Kramer,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('elvis313', 'Kramer', 'Rabbit');"
gaston313,Jackson,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('gaston313', 'Jackson', 'Cat');"
guadalupe340,Bernie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('guadalupe340', 'Bernie', 'Rabbit');"
guadalupe340,Lola,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('guadalupe340', 'Lola', 'Cat');"
hartwell259,Nutmeg,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('hartwell259', 'Nutmeg', 'Dog');"
hartwell259,Kirby,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('hartwell259', 'Kirby', 'Rabbit');"
knox614,Duchess,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('knox614', 'Duchess', 'Dog');"
lue973,Michael,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('lue973', 'Michael', 'Dog');"
manning349,Sweetie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('manning349', 'Sweetie', 'Rabbit');"
manning349,Schotzie,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('manning349', 'Schotzie', 'Rabbit');"
ola881,Sawyer,Rabbit,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ola881', 'Sawyer', 'Rabbit');"
ola881,Monster,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('ola881', 'Monster', 'Cat');"
reed786,Oz,Dog,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('reed786', 'Oz', 'Dog');"
sampson172,Pluto,Cat,"INSERT INTO pets (owner_uname, pet_name, pet_type) VALUES('sampson172', 'Pluto', 'Cat');"
